Mouse_ID,Condition,Age_weeks,Bodyweight_grams
1N,BSH- P,4,10.5
1L,BSH- P,4,10.8
2N,BSH- P,4,11.3
2L,BSH- P,4,13.8
3N,BSH- P,4,14.9
3L,BSH- P,4,14.2
4N,BSH- P,4,13
4L,BSH- P,4,11.1
5N,BSH- P,4,12.2
5L,BSH- P,4,12.5
6N,BSH- L,4,10.9
6L,BSH- L,4,14.1
7N,BSH- L,4,10.6
7L,BSH- L,4,11.6
8N,BSH- L,4,13.5
8L,BSH- L,4,13.8
9N,BSH- L,4,11.3
9L,BSH- L,4,13
10N,BSH- L,4,13.6
10L,BSH- L,4,10
11N,BSH+ P,4,10.2
11L,BSH+ P,4,11.8
12N,BSH+ P,4,12.2
12L,BSH+ P,4,13.7
13N,BSH+ P,4,14.8
13L,BSH+ P,4,13.8
14N,BSH+ P,4,10.2
14L,BSH+ P,4,11.2
15N,BSH+ P,4,11.8
15L,BSH+ P,4,12.9
16N,BSH+ L,4,12.3
16L,BSH+ L,4,9.9
17N,BSH+ L,4,13.4
17L,BSH+ L,4,12.2
18N,BSH+ L,4,11.6
18L,BSH+ L,4,13.5
19N,BSH+ L,4,13.4
19L,BSH+ L,4,12.5
20N,BSH+ L,4,12.7
20L,BSH+ L,4,14.1
1N,BSH- P,5,14.5
1L,BSH- P,5,13.4
2N,BSH- P,5,15.2
2L,BSH- P,5,15
3N,BSH- P,5,14.3
3L,BSH- P,5,15.2
4N,BSH- P,5,14
4L,BSH- P,5,12.3
5N,BSH- P,5,13.6
5L,BSH- P,5,13.7
6N,BSH- L,5,16.4
6L,BSH- L,5,15.1
7N,BSH- L,5,14.8
7L,BSH- L,5,14.9
8N,BSH- L,5,15.4
8L,BSH- L,5,15.8
9N,BSH- L,5,14.9
9L,BSH- L,5,14.3
10N,BSH- L,5,15.4
10L,BSH- L,5,14.1
11N,BSH+ P,5,13.8
11L,BSH+ P,5,13.9
12N,BSH+ P,5,15
12L,BSH+ P,5,14.6
13N,BSH+ P,5,15.2
13L,BSH+ P,5,15.5
14N,BSH+ P,5,12.9
14L,BSH+ P,5,12.5
15N,BSH+ P,5,14
15L,BSH+ P,5,13.7
16N,BSH+ L,5,14.9
16L,BSH+ L,5,13.9
17N,BSH+ L,5,14.8
17L,BSH+ L,5,14.5
18N,BSH+ L,5,13.6
18L,BSH+ L,5,15.5
19N,BSH+ L,5,16.9
19L,BSH+ L,5,15.1
20N,BSH+ L,5,15
20L,BSH+ L,5,16.4
1N,BSH- P,6,16.9
1L,BSH- P,6,15.2
2N,BSH- P,6,17.1
2L,BSH- P,6,15.3
3N,BSH- P,6,16.7
3L,BSH- P,6,15.1
4N,BSH- P,6,14.6
4L,BSH- P,6,13.2
5N,BSH- P,6,14.2
5L,BSH- P,6,14.6
6N,BSH- L,6,16.5
6L,BSH- L,6,15.4
7N,BSH- L,6,16.7
7L,BSH- L,6,17.6
8N,BSH- L,6,16.2
8L,BSH- L,6,17.7
9N,BSH- L,6,16.3
9L,BSH- L,6,14.5
10N,BSH- L,6,15.7
10L,BSH- L,6,16.4
11N,BSH+ P,6,16.1
11L,BSH+ P,6,14.9
12N,BSH+ P,6,16.4
12L,BSH+ P,6,14.2
13N,BSH+ P,6,15.5
13L,BSH+ P,6,16.3
14N,BSH+ P,6,14.8
14L,BSH+ P,6,13
15N,BSH+ P,6,14.8
15L,BSH+ P,6,14.3
16N,BSH+ L,6,16.4
16L,BSH+ L,6,14.7
17N,BSH+ L,6,15.4
17L,BSH+ L,6,16.2
18N,BSH+ L,6,14.8
18L,BSH+ L,6,16.4
19N,BSH+ L,6,18.1
19L,BSH+ L,6,15.9
20N,BSH+ L,6,16.1
20L,BSH+ L,6,16.7
1N,BSH- P,7,17.2
1L,BSH- P,7,16.8
2N,BSH- P,7,17.9
2L,BSH- P,7,15.3
3N,BSH- P,7,17
3L,BSH- P,7,15.8
4N,BSH- P,7,16.4
4L,BSH- P,7,13.6
5N,BSH- P,7,14.9
5L,BSH- P,7,16.2
6N,BSH- L,7,17.9
6L,BSH- L,7,17
7N,BSH- L,7,17.6
7L,BSH- L,7,17.6
8N,BSH- L,7,16.8
8L,BSH- L,7,18.7
9N,BSH- L,7,17.5
9L,BSH- L,7,15.1
10N,BSH- L,7,16
10L,BSH- L,7,17.5
11N,BSH+ P,7,18
11L,BSH+ P,7,16.1
12N,BSH+ P,7,17.4
12L,BSH+ P,7,14.8
13N,BSH+ P,7,16.9
13L,BSH+ P,7,17.7
14N,BSH+ P,7,15.5
14L,BSH+ P,7,13.7
15N,BSH+ P,7,15
15L,BSH+ P,7,15.1
16N,BSH+ L,7,17
16L,BSH+ L,7,15.1
17N,BSH+ L,7,16.7
17L,BSH+ L,7,16.9
18N,BSH+ L,7,15
18L,BSH+ L,7,17.4
19N,BSH+ L,7,19.4
19L,BSH+ L,7,16
20N,BSH+ L,7,17.2
20L,BSH+ L,7,17
1N,BSH- P,8,18.5
1L,BSH- P,8,19.4
2N,BSH- P,8,18.7
2L,BSH- P,8,16.9
3N,BSH- P,8,17.6
3L,BSH- P,8,16.2
4N,BSH- P,8,17.2
4L,BSH- P,8,15.2
5N,BSH- P,8,15.5
5L,BSH- P,8,16.3
6N,BSH- L,8,20
6L,BSH- L,8,19.3
7N,BSH- L,8,18.3
7L,BSH- L,8,18.8
8N,BSH- L,8,18.5
8L,BSH- L,8,20.8
9N,BSH- L,8,19.1
9L,BSH- L,8,16.8
10N,BSH- L,8,17.9
10L,BSH- L,8,18.3
11N,BSH+ P,8,19
11L,BSH+ P,8,17.2
12N,BSH+ P,8,18.6
12L,BSH+ P,8,16.4
13N,BSH+ P,8,17.5
13L,BSH+ P,8,17.6
14N,BSH+ P,8,15
14L,BSH+ P,8,15.1
15N,BSH+ P,8,16
15L,BSH+ P,8,16
16N,BSH+ L,8,17.7
16L,BSH+ L,8,16.8
17N,BSH+ L,8,19.9
17L,BSH+ L,8,19.4
18N,BSH+ L,8,16.1
18L,BSH+ L,8,19.9
19N,BSH+ L,8,20.2
19L,BSH+ L,8,17.7
20N,BSH+ L,8,19.1
20L,BSH+ L,8,19.3